ID,이미지 경로,감정 클래스,한글 입력 문장
64,/home/jieun/MobileVLM/data/neutral/002004.jpg,neutral,좀더 신중할필요가 있다...
65,/home/jieun/MobileVLM/data/neutral/002005.jpg,neutral,이번엔 베터리 색상은?
66,/home/jieun/MobileVLM/data/neutral/002006.jpg,neutral,근데 탈모도 아버지가 머리가풍성해도 아들은 탈모이고 아버지가 탈모여도 아들은 머리가 풍성한사람의외로많음.
67,/home/jieun/MobileVLM/data/neutral/002007.jpg,neutral,최형우를 잡으려면 계약금은 최소 연봉은 최대로....
68,/home/jieun/MobileVLM/data/neutral/002008.jpg,neutral, 제작진 쪽에서는 이미 같이 하자고 했겠지.
69,/home/jieun/MobileVLM/data/neutral/002009.jpg,neutral,저 문 어떻게 여는 거예요?
70,/home/jieun/MobileVLM/data/neutral/002010.jpg,neutral,가을은 오호츠크해 기단의 영향받는거아니었나?
71,/home/jieun/MobileVLM/data/neutral/002011.jpg,neutral,이것이 공정한 사회요 법치이다.
72,/home/jieun/MobileVLM/data/neutral/002012.jpg,neutral,교육은 남에게 봉사 희생 헌신을 가르치는것이지..
73,/home/jieun/MobileVLM/data/neutral/002013.jpg,neutral,기사제목 개식상하거나 사심기사거나
74,/home/jieun/MobileVLM/data/neutral/002014.jpg,neutral,축구로 비유 하자면 호날두나 메시가 발롱도르 받는 거랑 같지 ㅋㅋ
75,/home/jieun/MobileVLM/data/neutral/002015.jpg,neutral,오늘도 출발합니다
76,/home/jieun/MobileVLM/data/neutral/002016.jpg,neutral,시민에 피해가 없어야 합니다
77,/home/jieun/MobileVLM/data/neutral/002017.jpg,neutral,혈액 검사하면 금방 알 수 있다
78,/home/jieun/MobileVLM/data/neutral/002018.jpg,neutral,여기엔 꼭 댓글 달아야겠다.
79,/home/jieun/MobileVLM/data/neutral/002019.jpg,neutral,휴게소로 따라갔더니.
80,/home/jieun/MobileVLM/data/neutral/002020.jpg,neutral,하지만 후반에는 변했다.
81,/home/jieun/MobileVLM/data/sad/000401.jpg,sad,다이어트전에는 165에 58kg이었어요 
82,/home/jieun/MobileVLM/data/sad/000402.jpg,sad,머리로는 무조건 헤어져야하는데 (바람같은 최악은 아님)마음이 그러질 못하고 있습니다..
83,/home/jieun/MobileVLM/data/sad/000403.jpg,sad,21주된 첫 아가를 자궁경부무력증으로 하늘나라에 보냈습니다...
84,/home/jieun/MobileVLM/data/sad/000404.jpg,sad,그리고 이시간외엔 계속 공부하느라운동을 마니할순없으요ㅠㅠ
85,/home/jieun/MobileVLM/data/sad/000405.jpg,sad,나도 이제 마음 접어야겠다.
86,/home/jieun/MobileVLM/data/sad/000406.jpg,sad,나중에 다시연락한다면서 별다른 이유없이 차엿어요
87,/home/jieun/MobileVLM/data/sad/000407.jpg,sad,다들 처음에 힘드신데도 참고 하셨나요?
88,/home/jieun/MobileVLM/data/sad/000408.jpg,sad,제가 이제 곧 군대를 가는데요
89,/home/jieun/MobileVLM/data/sad/000409.jpg,sad,빚 한달에 22만원 나와요.
90,/home/jieun/MobileVLM/data/sad/000410.jpg,sad,게속 울어요ㅠ ㅠ
91,/home/jieun/MobileVLM/data/sad/000411.jpg,sad,헤어지고 마음이 깨지는 느낌이지만..
92,/home/jieun/MobileVLM/data/sad/000412.jpg,sad,바지를 27입었는데 약 복용 후 29가 되버렸어요...
93,/home/jieun/MobileVLM/data/sad/000413.jpg,sad,원픽 많대매ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
94,/home/jieun/MobileVLM/data/sad/000414.jpg,sad,오늘도 연락한통없네요
95,/home/jieun/MobileVLM/data/sad/000415.jpg,sad,제가 그렇게 잘못한 걸까요.
96,/home/jieun/MobileVLM/data/sad/000416.jpg,sad,6년만남후 이별후 환승한 여자친구 친구는 아니였지만지인인 남자한테 환승했구요
97,/home/jieun/MobileVLM/data/sad/000417.jpg,sad,몇달전에 산후검사하여 자궁경부암 검사는 정상이라 나왔는데..
98,/home/jieun/MobileVLM/data/sad/000418.jpg,sad,이런경우 마음이 떠난건가요..?
99,/home/jieun/MobileVLM/data/sad/000419.jpg,sad,게임도 재미없구.............
100,/home/jieun/MobileVLM/data/sad/000420.jpg,sad,43석인데 손님 10석이상 안차요.
101,/home/jieun/MobileVLM/data/surprised/001601.jpg,surprised,의사양반 내가고자라니!
102,/home/jieun/MobileVLM/data/surprised/001602.jpg,surprised,이 사람 얼굴이 약간 전라도 사람처럼 생겼네
103,/home/jieun/MobileVLM/data/surprised/001603.jpg,surprised,아직도 안잡았냐??
104,/home/jieun/MobileVLM/data/surprised/001604.jpg,surprised,이분 ~~진짜 욕먹는건 이제 신의 영역에 들어선거같다~~ㅋㅋ
105,/home/jieun/MobileVLM/data/surprised/001605.jpg,surprised,똥꼬 그냥 확.
106,/home/jieun/MobileVLM/data/surprised/001606.jpg,surprised,진짜 종횡무진하잖아
107,/home/jieun/MobileVLM/data/surprised/001607.jpg,surprised,미군 주둔하면 식민지라며? ㅎㄷ
108,/home/jieun/MobileVLM/data/surprised/001608.jpg,surprised,와 한강 이사람도 전라도출신이네
109,/home/jieun/MobileVLM/data/surprised/001609.jpg,surprised,아니 삼성처럼 기업을 운영한.것도 아닌데 어떻게 개인 일가가 8천억이란.
110,/home/jieun/MobileVLM/data/surprised/001610.jpg,surprised,한국에서 저런일이~!!
111,/home/jieun/MobileVLM/data/surprised/001611.jpg,surprised,나라 자체가 도로가 기준일 만큼 반듯반듯하게 지어놨냐.
112,/home/jieun/MobileVLM/data/surprised/001612.jpg,surprised,대박..진짜 탈퇴할 줄 이야..
113,/home/jieun/MobileVLM/data/surprised/001613.jpg,surprised,비 많이 와
114,/home/jieun/MobileVLM/data/surprised/001614.jpg,surprised,지금 주문해도 9월에 못받는다던데?
115,/home/jieun/MobileVLM/data/surprised/001615.jpg,surprised,내 발등뼈는 왜 조각났늬
116,/home/jieun/MobileVLM/data/surprised/001616.jpg,surprised,근데 요즘 추격전은 유재석만 뛰어다녀. .
117,/home/jieun/MobileVLM/data/surprised/001617.jpg,surprised,대단하다.
118,/home/jieun/MobileVLM/data/surprised/001618.jpg,surprised,정말 이게 기사야???
119,/home/jieun/MobileVLM/data/surprised/001619.jpg,surprised,대다나다. 당신없으면. 대한민국 더잘돌아간답니다...
120,/home/jieun/MobileVLM/data/surprised/001620.jpg,surprised,이거 실화냐?
